nome,idade,potencial,equipe,velocidade,consistencia,agressividade,motor,cambio,pontos,abandonos,vitorias,vitorias_seguidas,titulos,podios,corridas
Senna,30,99,McLaren,98,95,92,95,94,0,0,16,0,2,41,96
Berger,31,90,McLaren,90,88,82,92,92,0,0,4,0,0,20,100
Prost,35,97,Ferrari,96,98,75,94,92,0,0,41,0,3,80,120
Mansell,37,95,Ferrari,94,85,95,94,92,0,0,16,0,0,32,110
Piquet,38,93,Benetton,92,94,80,90,90,0,0,21,0,3,50,140
Nannini,31,88,Benetton,86,85,82,90,90,0,0,1,0,0,5,60
Alesi,26,92,Tyrrell,88,80,90,85,86,0,0,0,0,0,2,30
Nakajima,37,78,Tyrrell,78,82,70,85,86,0,0,0,0,0,0,55
Boutsen,33,87,Williams,87,88,78,92,91,0,0,2,0,0,8,80
Patrese,36,88,Williams,88,89,80,92,91,0,0,3,0,0,17,115
Suzuki,30,80,Lola,76,78,75,80,82,0,0,0,0,0,1,40
Bernard,26,82,Lola,78,80,78,80,82,0,0,0,0,0,0,25
Martini,29,84,Minardi,82,84,80,78,80,0,0,0,0,0,0,50
Morbidelli,22,83,Minardi,75,76,75,78,80,0,0,0,0,0,0,10
Alboreto,33,85,Arrows,84,85,78,80,78,0,0,5,0,0,23,130
Caffi,26,80,Arrows,78,79,80,80,78,0,0,0,0,0,0,35
Modena,27,85,Brabham,82,80,82,82,82,0,0,0,0,0,1,42
Brabham,24,78,Brabham,74,75,76,82,82,0,0,0,0,0,0,14
Gugelmin,27,84,Leyton House,81,83,80,83,81,0,0,0,0,0,1,45
Capelli,27,86,Leyton House,83,84,82,83,81,0,0,0,0,0,3,48
Warwick,35,84,Lotus,84,83,82,84,83,0,0,0,0,0,4,105
Donnelly,26,81,Lotus,78,75,80,84,83,0,0,0,0,0,0,14
Larini,32,80,Ligier,79,81,78,81,80,0,0,0,0,0,0,48
Alliot,32,78,Ligier,77,76,82,81,80,0,0,0,0,0,0,50
Gachot,28,68,Coloni,73,76,70,74,74,0,0,0,0,0,0,35
Ravaglia,31,64,Coloni,68,70,66,74,74,0,0,0,0,0,0,10
