anoPool,nome,idade,potencial,equipe,velocidade,consistencia,agressividade,motor,cambio,pontos,abandonos,vitorias,vitorias_seguidas,titulos,podios,corridas
1991,Michael Schumacher,22,100,,92,82,98,88,88,0,0,0,0,0,0,0
1991,Mika Hakkinen,23,98,,90,80,92,86,86,0,0,0,0,0,0,0
1991,Mark Blundell,25,84,,83,82,76,84,84,0,0,0,0,0,0,0
1991,Erik Comas,28,82,,82,80,78,84,84,0,0,0,0,0,0,0
1991,Michael Bartels,23,75,,75,74,72,80,80,0,0,0,0,0,0,0
1991,Pedro Chaves,26,74,,74,76,70,80,80,0,0,0,0,0,0,0
1991,Naoki Hattori,28,72,,72,74,68,80,80,0,0,0,0,0,0,0
1991,Kenny Brack,24,95,,88,88,84,86,86,0,0,0,0,0,0,0
1991,Juan Pablo Montoya,16,99,,82,70,95,75,75,0,0,0,0,0,0,0
1991,Tom Kristensen,24,96,,87,92,72,86,86,0,0,0,0,0,0,0
1991,Allan McNish,21,94,,86,88,80,85,85,0,0,0,0,0,0,0
1992,Damon Hill,31,90,,85,90,70,84,84,0,0,0,0,0,0,0
1992,Rubens Barrichello,20,97,,87,80,84,82,82,0,0,0,0,0,0,0
1992,Heinz Harald Frentzen,25,96,,88,85,82,84,84,0,0,0,0,0,0,0
1993,Jacques Villeneuve,22,99,,90,84,90,85,85,0,0,0,0,0,0,0
1993,Giancarlo Fisichella,20,95,,86,84,85,82,82,0,0,0,0,0,0,0
1994,Kimi Raikkonen,18,100,,88,78,86,80,80,0,0,0,0,0,0,0
1994,Fernando Alonso,17,100,,87,82,90,80,80,0,0,0,0,0,0,0
1995,Jenson Button,17,98,,84,80,78,78,78,0,0,0,0,0,0,0
1996,Lewis Hamilton,15,100,,82,75,88,75,75,0,0,0,0,0,0,0
1998,Kimi Raikkonen,17,97,,88,76,84,78,78,0,0,0,0,0,0,0
1998,Nick Heidfeld,17,95,,84,82,72,78,78,0,0,0,0,0,0,0
1999,Fernando Alonso,18,98,,88,82,90,80,80,0,0,0,0,0,0,0
1999,Pedro de la Rosa,18,95,,83,84,70,80,80,0,0,0,0,0,0,0
2000,Lewis Hamilton,15,97,,86,78,88,76,76,0,0,0,0,0,0,0
2000,Nico Rosberg,15,98,,84,82,76,76,76,0,0,0,0,0,0,0
2001,Sebastian Vettel,14,100,,85,78,86,74,74,0,0,0,0,0,0,0
2001,Robert Kubica,16,96,,84,84,82,76,76,0,0,0,0,0,0,0
2002,Adrian Sutil,15,97,,82,80,78,75,75,0,0,0,0,0,0,0
2003,Daniel Ricciardo,14,100,,84,78,92,74,74,0,0,0,0,0,0,0
2003,Sergio Perez,14,99,,83,82,80,74,74,0,0,0,0,0,0,0
2004,Nico Hulkenberg,14,98,,84,86,76,74,74,0,0,0,0,0,0,0
2005,Max Verstappen,14,100,,88,76,98,74,74,0,0,0,0,0,0,0
2005,Carlos Sainz Jr,13,98,,83,84,78,73,73,0,0,0,0,0,0,0
2006,Valtteri Bottas,14,98,,83,88,70,74,74,0,0,0,0,0,0,0
2007,Charles Leclerc,14,98,,85,82,88,74,74,0,0,0,0,0,0,0
2007,George Russell,14,97,,84,86,78,74,74,0,0,0,0,0,0,0
2008,Lando Norris,13,97,,84,82,82,73,73,0,0,0,0,0,0,0
2008,Alexander Albon,13,96,,82,80,80,73,73,0,0,0,0,0,0,0
2009,Oscar Piastri,13,98,,85,88,76,73,73,0,0,0,0,0,0,0
2010,Yuki Tsunoda,11,96,,82,74,92,70,70,0,0,0,0,0,0,0
